zibo|淄博市|municipal|37
zhanjiang|湛江市|municipal|37
ln_czt|Liaoning Finance Dept (辽宁财政厅)|provincial|35
bjb_scjgj|Beijing Market Regulation Bureau (北京市市场监管局)|municipal|35
taizhou_js|Taizhou (泰州市)|municipal|35
bynr|巴彦淖尔市|municipal|35
cq_rlsbj|重庆市人力资源和社会保障局|provincial|34
shb_ghzyj|Shanghai Planning & Natural Resources Bureau (上海市规划资源局)|municipal|34
sasac|State-owned Assets Supervision & Admin Commission (国资委)|central|33
moj|Ministry of Justice (司法部)|central|33
xz_tjj|Tibet Statistics Bureau (西藏统计局)|provincial|32
xz_gat|Tibet Public Security Dept (西藏公安厅)|provincial|32
changchun|长春市|municipal|32
cq_rmfkb|重庆市国防动员办公室|provincial|31
hn_zrzyt|Hunan Natural Resources Dept (湖南自然资源厅)|provincial|31
shb_rsj|Shanghai HR & Social Security Bureau (上海市人社局)|municipal|31
dingxi|Dingxi (定西市)|municipal|31
pbc|People's Bank of China (中国人民银行)|central|30
tc260|National Cybersecurity Standardization TC (网安标委 TC260)|central|30
huangshi|Huangshi (黄石市)|municipal|30
mct|Ministry of Culture & Tourism (文旅部)|central|28
cq_jrjgj|重庆市地方金融管理局|provincial|28
huaibei|淮北市|municipal|28
huainan|淮南市|municipal|28
cq_xfb|重庆市信访办公众信息网|provincial|27
bjb_whlyj|Beijing Culture & Tourism Bureau (北京市文旅局)|municipal|27
shb_nyncw|Shanghai Agriculture & Rural Commission (上海市农业农村委)|municipal|27
js_czt|Jiangsu Finance Dept (江苏财政厅)|provincial|26
xz_wjw|Tibet Health Commission (西藏卫健委)|provincial|26
whd_hongshan|Wuhan Hongshan District (武汉洪山区)|district|26
ncha|National Cultural Heritage Administration (国家文物局)|central|26
mara|Ministry of Agriculture & Rural Affairs (农业农村部)|central|25
cq_gxhzs|重庆市供销合作总社|provincial|25
jl_zrzy|Jilin Natural Resources Dept (吉林自然资源厅)|provincial|25
shb_tjj|Shanghai Statistics Bureau (上海市统计局)|municipal|25
yanbian|延边朝鲜族自治州|municipal|25
wjq|五家渠市|municipal|25
xz_ee|Tibet Ecology & Environment Dept (西藏生态环境厅)|provincial|24
cq_dsjj|重庆市大数据应用发展管理局|provincial|24
cq_zfwb|重庆市人民政府外事办公室|provincial|24
